model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d16384 (c1),1953.5321729483403,16.746101302982574,1953.5321729483403,16.746101302982574,,,,,8389.839966665022,72.32716473465261,8387.991466656482,72.32716473465261,8389.839966665022,72.32716473465261
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d16384 (c1),41.66009099588791,6.584522961154013,41.66009099588791,6.584522961154013,54.0,9.201449161228174,54.0,9.201449161228174,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d16384 (c1),625.3915790370205,3.0213316599205307,625.3915790370205,3.0213316599205307,,,,,3276.6734666753714,15.872801708991531,3274.824966666832,15.872801708991535,3276.6734666753714,15.872801708991531
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d16384 (c1),36.447418935729104,1.6617840655231775,36.447418935729104,1.6617840655231775,44.333333333333336,1.8856180831641267,44.333333333333336,1.8856180831641267,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d16384 (c2),1963.577648845708,1.3355944380255105,1304.810743470654,322.8727968749904,,,,,13378.26763333093,3309.9621824235705,13376.419133322392,3309.962182423571,13378.518083331679,3310.212180544984
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d16384 (c2),20.819044621666624,1.1030495753072014,17.896520091911643,5.833069348785183,67.66666666666667,3.39934634239519,35.333333333333336,5.022173057773122,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d16384 (c2),631.4749195252925,1.6626947223518067,471.27887146877066,155.46370740161933,,,,,4878.0338166543515,1608.4190345162988,4876.185316645812,1608.4190345162992,4878.0338166543515,1608.4190345162988
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d16384 (c2),31.846393843918083,1.6010012664179805,23.731545721412285,6.219575788963253,74.33333333333333,5.792715732327589,39.333333333333336,8.319989316232457,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d16384 (c5),1990.093912005609,3.19483605200973,821.5711314258281,456.88280109484975,,,,,25639.745726667268,11119.370259003817,25637.89722665873,11119.370259003817,25769.176759999635,10945.769112859238
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d16384 (c5),15.294236825186717,1.6668845492928486,8.473761469265725,7.5461832392657335,100.33333333333333,11.953614051360738,25.533333333333335,8.325596408399555,,,,,,
